group,Subgroup,BPSN,BNSP,feature,label
None,0.663978494623656,0.05175469691598725,0.7976406533575318,target,Hate
Islam,0.2520812520812521,0.2253081791188027,0.06895346628679963,target,Hate
Homosexual,0.1665200452431821,0.10495643644336736,0.11497825514795271,target,Hate
Other,0.06432748538011696,0.036618539443398206,0.1179243103368606,target,Hate
African,0.17922839813065528,0.2761131918435289,0.04948755257654906,target,Hate
Caucasian,0.11973392461197341,0.03502420924023711,0.2017069924046668,target,Hate
Women,0.0915915915915916,0.052774564447716214,0.134178633262043,target,Hate
Jewish,0.15855072463768116,0.2847087378640777,0.042195048309178744,target,Hate
Arab,0.19393939393939397,0.20405040504050406,0.07246704331450093,target,Hate
Refugee,0.21724709784411278,0.050078554595443844,0.26558981889378364,target,Hate
Overall generalized mean,0.09752439987057404,0.047228721846868965,0.06072769397983537,target,Hate
None,0.19501844198551305,0.2783760683760684,0.10728397072576173,target,Offensive
Islam,0.13459950454170108,0.09323060800078603,0.17756539235412475,target,Offensive
Homosexual,0.15458579881656803,0.1293481839130912,0.14503850579799946,target,Offensive
Other,0.16952380952380952,0.13625925925925925,0.1718796992481203,target,Offensive
African,0.2011661807580175,0.06384055038445974,0.4060973226499902,target,Offensive
Caucasian,0.2236842105263158,0.33749169557835684,0.05688232739904473,target,Offensive
Women,0.2237339380196523,0.19960429875444044,0.11690237830393559,target,Offensive
Jewish,0.14197802197802198,0.04984393757503001,0.32289592760180996,target,Offensive
Arab,0.2738095238095237,0.07928240740740741,0.33589933382679493,target,Offensive
Refugee,0.17570754716981132,0.23485815121487713,0.08339763374485597,target,Offensive
Overall generalized mean,0.16778173692851533,0.07335262227529309,0.08644312885987962,target,Offensive
None,0.14334558310461926,0.2737090148982106,0.11224370922646786,target,Normal
Islam,0.3830227743271222,0.17038497457715057,0.4388404615577574,target,Normal
Homosexual,0.31410490446635025,0.3454184704184704,0.18315707652341112,target,Normal
Other,0.1304945054945055,0.32237929135303833,0.08765844467283318,target,Normal
African,0.23356751607525597,0.11845338161127635,0.4037692747001713,target,Normal
Caucasian,0.2518518518518518,0.21071428571428572,0.2659744408945687,target,Normal
Women,0.28479532163742693,0.33588516746411484,0.1762568306010929,target,Normal
Jewish,0.2369787005548595,0.14436481296682693,0.3628726417358744,target,Normal
Arab,0.2205128205128205,0.20050167224080268,0.256,target,Normal
Refugee,0.3554285714285714,0.35463636363636364,0.2079171032716265,target,Normal
Overall generalized mean,0.18221056323099738,0.168860094009674,0.13045961001359177,target,Normal
